"LEA_STATE","NMCNTY","total_ct_enr","total_ct_gt_enr","group_enr_ct","group_gt_enr_ct","group_missing_count_lower","group_missing_count_upper","group_missing_perc_lower","group_missing_perc_upper","group","year","region","state_perc_gt","state_nonT1_perc_gt"
"CA","Yuba County",14385,290,1089,23,44,68,0.656716417910448,0.747252747252747,"Asian",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA",NA,19253,7,1431,0,88,121,1,1,"Asian",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Alameda County",228440,15199,22818,408,981,1516,0.706263498920086,0.787941787941788,"Black",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Alpine County",79,0,0,0,NA,NA,NA,NA,"Black",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Amador County",4190,166,27,0,2,2,1,1,"Black",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Butte County",31381,622,627,11,27,42,0.710526315789474,0.792452830188679,"Black",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Calaveras County",5064,0,31,0,2,3,1,1,"Black",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Colusa County",4847,33,29,0,2,2,1,1,"Black",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Contra Costa County",178930,6777,16031,333,643,1019,0.658811475409836,0.753698224852071,"Black",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Del Norte County",4235,436,39,1,1,2,0.5,0.666666666666667,"Black",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","El Dorado County",29332,470,313,0,19,27,1,1,"Black",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Fresno County",207363,4884,10441,136,500,744,0.786163522012579,0.845454545454545,"Black",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Glenn County",5308,26,22,0,1,2,1,1,"Black",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Humboldt County",18248,591,238,4,11,16,0.733333333333333,0.8,"Black",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Imperial County",38580,1746,253,7,8,15,0.533333333333333,0.681818181818182,"Black",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Inyo County",2696,0,14,0,1,1,1,1,"Black",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Kern County",188462,10660,10275,311,315,555,0.503194888178914,0.640877598152425,"Black",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Kings County",28930,86,1114,2,65,92,0.970149253731343,0.978723404255319,"Black",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Lake County",9432,40,155,1,9,12,0.9,0.923076923076923,"Black",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Lassen County",3784,21,90,0,6,7,1,1,"Black",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Los Angeles County",1461399,115518,109235,5074,1578,4138,0.237221888153939,0.449196699956578,"Black",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Lyon County",151,0,42,0,3,4,1,1,"Black",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Madera County",32225,145,501,1,30,41,0.967741935483871,0.976190476190476,"Black",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Marin County",33674,403,626,3,36,50,0.923076923076923,0.943396226415094,"Black",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Mariposa County",1885,0,13,0,1,1,1,1,"Black",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Mendocino County",13204,296,103,4,3,5,0.428571428571429,0.555555555555556,"Black",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Merced County",58804,2491,1611,68,34,68,0.333333333333333,0.5,"Black",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Modoc County",1006,0,16,0,1,1,1,1,"Black",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Mono County",1630,0,4,0,0,0,NA,NA,"Black",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Monterey County",80545,822,958,4,55,77,0.932203389830508,0.950617283950617,"Black",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Napa County",20946,1648,404,11,13,23,0.541666666666667,0.676470588235294,"Black",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Nevada County",13584,172,229,1,14,19,0.933333333333333,0.95,"Black",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Orange County",491662,49813,6814,418,52,157,0.11063829787234,0.27304347826087,"Black",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Placer County",66661,4408,1302,28,52,82,0.65,0.745454545454545,"Black",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Plumas County",2167,0,31,0,2,3,1,1,"Black",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Riverside County",430747,17647,26055,741,846,1456,0.533081285444234,0.662721893491124,"Black",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Sacramento County",251214,14424,29237,703,1078,1762,0.605277933745087,0.714807302231237,"Black",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","San Benito County",10899,39,42,0,2,3,1,1,"Black",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","San Bernardino County",406405,29792,34334,1423,668,1472,0.319464371114299,0.50846286701209,"Black",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","San Diego County",503351,51507,22515,1437,309,461,0.176975945017182,0.242887249736565,"Black",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","San Francisco County",57870,4,5067,0,308,428,1,1,"Black",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","San Joaquin County",150236,4984,11905,151,574,852,0.791724137931034,0.849451645064806,"Black",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","San Luis Obispo County",34701,1234,341,7,14,21,0.666666666666667,0.75,"Black",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","San Mateo County",94157,3190,1388,23,66,94,0.741573033707865,0.803418803418803,"Black",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Santa Barbara County",70716,4762,754,35,11,29,0.239130434782609,0.453125,"Black",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Santa Clara County",272808,4689,5129,47,266,385,0.849840255591054,0.891203703703704,"Black",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Santa Cruz County",38853,1872,356,9,15,21,0.625,0.7,"Black",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Shasta County",25897,1921,405,29,18,25,0.382978723404255,0.462962962962963,"Black",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Sierra County",410,0,5,0,0,0,NA,NA,"Black",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Siskiyou County",6334,92,94,0,5,8,1,1,"Black",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Solano County",64850,3511,9273,192,373,590,0.660176991150442,0.754475703324808,"Black",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Sonoma County",68490,2150,1043,18,46,70,0.71875,0.795454545454545,"Black",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Stanislaus County",112510,6359,3072,96,91,163,0.486631016042781,0.629343629343629,"Black",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Sutter County",22560,617,403,2,22,32,0.916666666666667,0.941176470588235,"Black",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Tehama County",10941,0,96,0,6,8,1,1,"Black",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Trinity County",1424,25,6,0,0,1,NA,1,"Black",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Tulare County",105179,1402,1167,16,55,82,0.774647887323944,0.836734693877551,"Black",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Tuolumne County",5726,130,54,0,4,4,1,1,"Black",2017,"Pacific",0.0608958070960491,0.084325689438006
